year,fstate,state,BA_NSA,HBA_NSA,WBA_NSA,CBA_NSA
2005,60,AS,164,73,61,25
2006,60,AS,136,79,57,35
2007,60,AS,179,105,74,46
2008,60,AS,202,84,52,27
2009,60,AS,285,107,61,34
2010,60,AS,289,114,64,34
2011,60,AS,261,117,78,41
2012,60,AS,233,89,70,22
2013,60,AS,195,86,55,37
2014,60,AS,162,86,58,37
2015,60,AS,172,92,64,36
2016,60,AS,325,137,67,44
2017,60,AS,289,105,53,45
2018,60,AS,249,109,49,57
2019,60,AS,298,104,46,53
2020,60,AS,278,135,81,48
2021,60,AS,267,96,58,30
2022,60,AS,353,159,97,46
2023,60,AS,253,108,58,35
2024,60,AS,303,140,91,48
2025,60,AS,239,99,56,32
2005,66,GU,481,376,289,213
2006,66,GU,569,457,319,241
2007,66,GU,636,521,378,304
2008,66,GU,596,452,333,232
2009,66,GU,593,419,286,220
2010,66,GU,617,448,300,214
2011,66,GU,582,424,266,253
2012,66,GU,595,418,284,202
2013,66,GU,514,390,275,222
2014,66,GU,493,353,241,189
2015,66,GU,524,372,254,195
2016,66,GU,554,396,274,198
2017,66,GU,562,383,245,189
2018,66,GU,493,332,208,184
2019,66,GU,489,301,191,153
2020,66,GU,435,259,155,113
2021,66,GU,618,368,252,132
2022,66,GU,576,333,211,131
2023,66,GU,606,330,213,113
2024,66,GU,666,338,231,121
2025,66,GU,635,321,206,99
2005,69,MP,230,196,113,131
2006,69,MP,215,174,86,135
2007,69,MP,327,267,146,200
2008,69,MP,338,289,173,214
2009,69,MP,331,263,160,178
2010,69,MP,201,148,107,96
2011,69,MP,377,319,242,180
2012,69,MP,234,179,139,92
2013,69,MP,235,173,122,106
2014,69,MP,225,169,124,117
2015,69,MP,312,247,171,131
2016,69,MP,299,228,151,140
2017,69,MP,274,205,129,128
2018,69,MP,252,176,117,109
2019,69,MP,297,206,135,97
2020,69,MP,178,120,80,47
2021,69,MP,235,153,104,51
2022,69,MP,261,154,98,73
2023,69,MP,250,148,97,62
2024,69,MP,297,142,87,64
2025,69,MP,188,115,62,48
2005,78,VI,877,471,264,210
2006,78,VI,967,485,278,192
2007,78,VI,990,511,273,194
2008,78,VI,859,428,246,131
2009,78,VI,880,407,206,133
2010,78,VI,1082,413,218,120
2011,78,VI,1141,471,234,153
2012,78,VI,1037,415,180,143
2013,78,VI,1000,385,151,92
2014,78,VI,1108,408,148,113
2015,78,VI,1216,465,163,98
2016,78,VI,1325,477,171,105
2017,78,VI,1118,383,162,93
2018,78,VI,1591,524,177,91
2019,78,VI,1671,551,164,76
2020,78,VI,1738,475,136,81
2021,78,VI,2036,576,170,89
2022,78,VI,1907,566,157,94
2023,78,VI,1829,540,141,75
2024,78,VI,1666,481,111,74
2025,78,VI,1650,496,119,75
